NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
75106001;LUXEMBOURG;48.844667;2.333833;46;20240122;0.6;1;8.1;1;1801;9;14.6;1;1338;9;11.5;1;11.4;1;6.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240123;0.4;1;8.3;1;644;9;14.5;1;512;9;10.6;1;11.4;1;6.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240124;1.4;1;12.0;1;1858;9;15.4;1;1320;9;13.8;1;13.7;1;3.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240125;0.2;1;10.1;1;249;9;14.4;1;1320;9;11.8;1;12.3;1;4.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240126;1.0;1;8.9;1;1756;9;13.9;1;1342;9;10.3;1;11.4;1;5.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240127;0.0;1;1.5;1;604;9;9.5;1;1425;9;5.0;1;5.5;1;8.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240128;0.0;1;2.2;1;814;9;9.6;1;1329;9;5.8;1;5.9;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240129;0.2;1;4.6;1;155;9;14.9;1;1343;9;9.6;1;9.8;1;10.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240130;0.0;1;9.1;1;1758;9;12.2;1;1133;9;10.3;1;10.7;1;3.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240131;1.0;1;5.2;1;748;9;11.0;1;2343;9;8.7;1;8.1;1;5.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240201;0.0;1;8.8;1;1801;9;12.6;1;1406;9;10.3;1;10.7;1;3.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240202;0.0;1;4.9;1;729;9;11.5;1;1358;9;7.8;1;8.2;1;6.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240203;0.0;1;7.9;1;1901;9;11.3;1;1435;9;10.5;1;9.6;1;3.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240204;0.0;1;9.9;1;732;9;11.4;1;1134;9;10.4;1;10.7;1;1.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240205;0.0;1;8.6;1;1625;9;9.8;1;601;9;9.2;1;9.2;1;1.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240206;1.2;1;8.0;1;2348;9;12.6;1;1459;9;10.6;1;10.3;1;4.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240207;4.8;1;11.3;1;2142;9;13.0;1;556;9;12.0;1;12.2;1;1.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240208;5.2;1;11.9;1;1711;9;14.4;1;1302;9;12.5;1;13.2;1;2.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240209;0.0;1;10.5;1;2304;9;14.4;1;1247;9;12.0;1;12.5;1;3.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240210;5.2;1;8.0;1;1716;9;10.6;1;1412;9;9.1;1;9.3;1;2.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240211;0.8;1;7.7;1;2043;9;11.2;1;1117;9;9.5;1;9.5;1;3.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240212;0.0;1;6.7;1;128;9;13.9;1;1429;9;8.5;1;10.3;1;7.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240213;0.0;1;3.7;1;257;9;11.6;1;1218;9;8.4;1;7.7;1;7.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240214;0.0;1;10.0;1;2131;9;16.6;1;1445;9;12.9;1;13.3;1;6.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240215;0.0;1;10.9;1;720;9;19.7;1;1513;9;15.0;1;15.3;1;8.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240216;0.4;1;12.3;1;1758;9;14.9;1;601;9;13.5;1;13.6;1;2.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240217;0.0;1;10.5;1;406;9;16.6;1;1403;9;12.4;1;13.6;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240218;4.0;1;7.7;1;540;9;12.6;1;1911;9;10.2;1;10.2;1;4.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240219;0.0;1;10.6;1;1741;9;12.0;1;921;9;11.0;1;11.3;1;1.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240220;0.0;1;7.1;1;513;9;11.6;1;1333;9;9.0;1;9.4;1;4.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240221;13.7;1;7.0;1;608;9;12.3;1;600;9;9.4;1;9.7;1;5.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240222;11.5;1;8.7;1;1629;9;14.1;1;1334;9;10.8;1;11.4;1;5.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240223;2.2;1;5.1;1;636;9;10.5;1;1348;9;6.7;1;7.8;1;5.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240224;5.0;1;4.3;1;408;9;9.3;1;1404;9;6.3;1;6.8;1;5.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240225;6.2;1;5.1;1;1801;9;9.2;1;56;9;7.4;1;7.2;1;4.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240226;9.4;1;6.2;1;1759;9;10.7;1;1126;9;7.9;1;8.5;1;4.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240227;0.2;1;5.2;1;705;9;10.5;1;1514;9;6.9;1;7.9;1;5.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240228;0.0;1;3.1;1;449;9;11.5;1;1300;9;7.8;1;7.3;1;8.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240229;4.2;1;8.1;1;2149;9;11.0;1;1742;9;9.5;1;9.6;1;2.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240301;4.6;1;5.3;1;644;9;12.1;1;1519;9;8.0;1;8.7;1;6.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240302;17.3;1;5.7;1;244;9;8.9;1;1326;9;6.8;1;7.3;1;3.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240303;0.0;1;5.5;1;2313;9;10.6;1;1614;9;7.2;1;8.1;1;5.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240304;0.2;1;2.5;1;634;9;12.9;1;1424;9;8.3;1;7.7;1;10.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240305;4.2;1;7.0;1;119;9;11.0;1;1450;9;8.0;1;9.0;1;4.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240306;0.0;1;5.8;1;2154;9;11.9;1;1131;9;7.7;1;8.9;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240307;0.0;1;3.0;1;638;9;14.9;1;1355;9;8.9;1;9.0;1;11.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240308;0.0;1;3.9;1;551;9;14.8;1;1538;9;9.7;1;9.4;1;10.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240309;6.0;1;7.2;1;343;9;15.0;1;1156;9;9.6;1;11.1;1;7.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240310;0.0;1;7.6;1;2209;9;11.8;1;1359;9;9.1;1;9.7;1;4.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240311;2.6;1;7.4;1;2249;9;13.5;1;1101;9;9.6;1;10.5;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240312;6.4;1;8.4;1;422;9;12.6;1;1855;9;10.5;1;10.5;1;4.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240313;0.2;1;11.1;1;548;9;13.9;1;1233;9;12.3;1;12.5;1;2.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240314;0.0;1;7.3;1;616;9;19.7;1;1536;9;13.6;1;13.5;1;12.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240315;2.2;1;13.4;1;636;9;18.3;1;1415;9;14.4;1;15.9;1;4.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240316;0.2;1;10.4;1;555;9;16.5;1;1347;9;13.2;1;13.5;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240317;3.0;1;10.8;1;752;9;15.7;1;1613;9;12.8;1;13.3;1;4.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
